nike_1, 627, 623, 1110, 770, nike, 5
nike_2, 345, 128, 434, 273, nike, 5
nike_2, 338, 309, 362, 351, nike, 5
nike_3, 832, 617, 1294, 807, nike, 5
nike_4, 220, 462, 352, 834, nike, 5
nike_5, 230, 419, 463, 504, nike, 5
nike_6, 395, 558, 882, 729, nike, 5
nike_7, 641, 859, 824, 964, nike, 5
nike_8, 166, 169, 384, 431, nike, 5
nike_9, 598, 668, 977, 795, nike, 5
nike_10, 482, 843, 911, 1033, nike, 5
nike_11, 287, 175, 318, 191, nike, 5
nike_12, 164, 157, 323, 222, nike, 5
nike_13, 187, 98, 336, 149, nike, 5
nike_14, 480, 395, 846, 628, nike, 5
nike_15, 614, 834, 1142, 1028, nike, 5
nike_16, 363, 234, 615, 319, nike, 5
nike_17, 162, 188, 396, 297, nike, 5
nike_18, 443, 340, 489, 357, nike, 5
nike_19, 279, 188, 480, 476, nike, 5
nike_20, 118, 290, 197, 322, nike, 5
nike_21, 279, 162, 490, 451, nike, 5
nike_22, 101, 151, 152, 196, nike, 5
nike_23, 35, 225, 188, 324, nike, 5
nike_24, 632, 127, 784, 389, nike, 5
nike_25, 63, 173, 182, 275, nike, 5
nike_26, 179, 874, 660, 1023, nike, 5
nike_27, 330, 340, 668, 457, nike, 5
nike_28, 492, 884, 641, 977, nike, 5
nike_29, 356, 330, 484, 387, nike, 5
nike_30, 381, 1086, 650, 1302, nike, 5
